epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78032,1.56175,5.13675,0.95743,0,0,0,0,1.44523,4.69454,0.92372,6.67e-05,6.67e-05,6.67e-05
2,16.1913,1.36138,4.71653,0.89461,0,0,0,0,1.25752,4.58013,0.8547,0.000138683,0.000138683,0.000138683
3,22.1546,1.34196,4.13269,0.86761,0.00245,0.02847,0.00388,0.00089,1.22162,4.47354,0.83947,0.000209214,0.000209214,0.000209214
4,28.2679,1.42386,3.6886,0.91545,0.00639,0.18422,0.06006,0.02467,1.29551,4.27234,0.84425,0.000278292,0.000278292,0.000278292
5,34.388,1.37631,3.32403,0.87359,0.01728,0.64518,0.14652,0.08444,1.24603,3.81486,0.84257,0.000345917,0.000345917,0.000345917
6,40.3061,1.36061,3.12321,0.86436,0.02186,0.89382,0.18313,0.09508,1.32246,3.42639,0.84902,0.000412089,0.000412089,0.000412089
7,46.423,1.29871,2.97307,0.86483,0.70575,0.0575,0.20915,0.12591,1.26121,2.86232,0.8442,0.000476809,0.000476809,0.000476809
8,52.3711,1.237,2.83025,0.84032,0.39993,0.15282,0.20496,0.11812,1.26053,2.61609,0.8482,0.000540076,0.000540076,0.000540076
9,59.512,1.29728,2.75571,0.85593,0.20495,0.48571,0.18718,0.11924,1.19439,2.23086,0.84328,0.00060189,0.00060189,0.00060189
10,66.3665,1.271,2.76565,0.8601,0.20794,0.41917,0.20024,0.12747,1.21703,2.16916,0.8381,0.00060757,0.00060757,0.00060757
11,73.13,1.24655,2.61297,0.84136,0.18874,0.44823,0.21084,0.13431,1.24671,2.1645,0.84527,0.000600967,0.000600967,0.000600967
12,80.1616,1.24435,2.59516,0.84208,0.12303,0.51071,0.21585,0.14594,1.22471,2.15062,0.83033,0.000594364,0.000594364,0.000594364
13,87.0286,1.19673,2.57383,0.84916,0.1194,0.49509,0.22953,0.16157,1.18667,2.14008,0.82872,0.00058776,0.00058776,0.00058776
14,93.8406,1.12471,2.5937,0.83761,0.14894,0.46242,0.24273,0.17209,1.18301,2.09898,0.82748,0.000581157,0.000581157,0.000581157
15,101.048,1.15716,2.53879,0.83678,0.14699,0.5048,0.24532,0.17053,1.14626,2.04775,0.82154,0.000574554,0.000574554,0.000574554
16,108.463,1.13921,2.48271,0.8321,0.13889,0.46372,0.25268,0.17,1.17143,2.03996,0.81863,0.00056795,0.00056795,0.00056795
17,115.344,1.18516,2.43392,0.83203,0.15656,0.4961,0.26758,0.18314,1.16146,2.04374,0.8167,0.000561347,0.000561347,0.000561347
18,121.553,1.16795,2.48203,0.84799,0.1561,0.55176,0.24292,0.16606,1.07413,2.05447,0.81324,0.000554744,0.000554744,0.000554744
19,127.586,1.13495,2.38066,0.82968,0.14242,0.55273,0.2386,0.15819,1.12247,2.03214,0.81375,0.000548141,0.000548141,0.000548141
20,133.708,1.10374,2.33752,0.82889,0.17258,0.52989,0.26044,0.1763,1.15438,1.96032,0.81029,0.000541537,0.000541537,0.000541537
21,139.639,1.16446,2.32273,0.83247,0.16529,0.47915,0.27008,0.18665,1.1457,1.94703,0.80709,0.000534934,0.000534934,0.000534934
22,145.736,1.09988,2.35736,0.82936,0.17475,0.47243,0.28133,0.19467,1.07335,1.92918,0.80501,0.000528331,0.000528331,0.000528331
23,151.873,1.12945,2.3214,0.82826,0.20936,0.38166,0.28277,0.17379,1.2388,2.04914,0.81321,0.000521727,0.000521727,0.000521727
24,157.733,1.14129,2.26008,0.83967,0.21633,0.36296,0.30179,0.20192,1.12261,2.062,0.80704,0.000515124,0.000515124,0.000515124
25,163.84,1.09503,2.25672,0.82669,0.17057,0.44554,0.28699,0.20122,1.13618,1.88783,0.805,0.000508521,0.000508521,0.000508521
26,169.422,1.0259,2.2686,0.8282,0.30935,0.35074,0.28027,0.1927,1.14129,1.84885,0.80521,0.000501917,0.000501917,0.000501917
27,175.163,1.06805,2.21914,0.81756,0.21727,0.36289,0.28549,0.20064,1.07434,1.83721,0.80436,0.000495314,0.000495314,0.000495314
28,181.244,1.04545,2.15822,0.81826,0.22402,0.31742,0.29651,0.21784,0.97662,1.99079,0.80251,0.000488711,0.000488711,0.000488711
29,187.212,0.98835,2.18109,0.81987,0.23903,0.35242,0.30854,0.22527,0.99639,1.96184,0.80337,0.000482108,0.000482108,0.000482108
30,193.227,1.02248,2.12188,0.82785,0.27272,0.41311,0.32472,0.22664,1.07209,1.87921,0.80503,0.000475504,0.000475504,0.000475504
31,199.991,1.00757,2.21687,0.83284,0.23832,0.40003,0.321,0.2301,1.03167,1.86245,0.80493,0.000468901,0.000468901,0.000468901
32,206.993,0.96728,2.06615,0.81949,0.24749,0.3634,0.33275,0.23219,1.10244,1.85751,0.80428,0.000462298,0.000462298,0.000462298
33,213.657,1.01371,2.10794,0.82121,0.18215,0.45996,0.28797,0.20183,1.08294,1.94958,0.80772,0.000455694,0.000455694,0.000455694
34,220.088,1.10913,2.09133,0.82748,0.17776,0.53562,0.28783,0.1979,1.11766,1.87894,0.8142,0.000449091,0.000449091,0.000449091
35,226.834,1.12715,2.11411,0.83548,0.19556,0.47668,0.31618,0.21943,1.08685,1.7814,0.80883,0.000442488,0.000442488,0.000442488
36,232.675,1.04994,2.08833,0.83718,0.25157,0.46198,0.3583,0.23264,1.27699,1.74855,0.81604,0.000435884,0.000435884,0.000435884
37,238.586,1.08658,2.02624,0.82741,0.29329,0.45436,0.36377,0.25499,1.11495,1.72875,0.80723,0.000429281,0.000429281,0.000429281
